condition,Fairness Rating - R_40,Fairness Rating -NR_40,Fairness Rating - R_60,Fairness Rating - NR_60
R_40,-41,,,
R_40,-32,,,
R_40,-10,,,
R_40,-50,,,
R_40,-12,,,
R_40,0,,,
R_40,0,,,
R_40,0,,,
R_40,-10,,,
R_40,-2,,,
R_40,-50,,,
R_40,0,,,
R_40,-50,,,
R_40,-30,,,
R_40,-9,,,
R_40,-40,,,
R_40,-32,,,
R_40,-20,,,
R_40,-50,,,
R_40,-26,,,
R_40,-40,,,
R_40,-30,,,
R_40,0,,,
R_40,-20,,,
R_40,-5,,,
R_40,0,,,
R_40,-25,,,
R_40,-31,,,
R_40,-10,,,
R_40,-18,,,
R_40,0,,,
R_40,-30,,,
R_40,-17,,,
R_40,-23,,,
R_40,-10,,,
R_40,-26,,,
R_40,-5,,,
R_40,-40,,,
R_40,-10,,,
R_40,-24,,,
R_40,0,,,
R_40,-20,,,
R_40,0,,,
R_40,-10,,,
R_40,-12,,,
R_40,-50,,,
R_40,-1,,,
R_40,-6,,,
R_40,-29,,,
R_40,-42,,,
R_40,-23,,,
R_40,-8,,,
R_40,-41,,,
R_40,-14,,,
R_40,-21,,,
R_40,-25,,,
R_40,-20,,,
R_40,-17,,,
R_40,0,,,
R_40,0,,,
R_40,-20,,,
R_40,-13,,,
R_40,-35,,,
R_40,-38,,,
R_40,-10,,,
R_40,-14,,,
R_40,-14,,,
R_40,-20,,,
R_40,-36,,,
R_40,-50,,,
R_40,-30,,,
R_40,-2,,,
R_40,-24,,,
R_40,-36,,,
R_40,-20,,,
R_40,-10,,,
R_40,-19,,,
R_40,-10,,,
R_40,-31,,,
R_40,-50,,,
R_40,-40,,,
R_40,-50,,,
R_40,-43,,,
R_40,-10,,,
R_40,-25,,,
R_40,-3,,,
R_40,0,,,
R_40,-5,,,
R_40,-10,,,
R_40,-50,,,
R_40,-20,,,
R_40,-44,,,
R_40,-38,,,
R_40,-27,,,
R_40,-9,,,
R_40,-26,,,
R_40,-26,,,
R_40,0,,,
R_40,-15,,,
R_40,-40,,,
R_40,-5,,,
R_40,-25,,,
R_40,-20,,,
R_40,-22,,,
R_40,-10,,,
R_40,-40,,,
R_40,-17,,,
R_40,-35,,,
R_40,-1,,,
R_40,-15,,,
R_40,-3,,,
R_40,0,,,
R_40,-35,,,
R_40,0,,,
R_40,-25,,,
R_40,-15,,,
R_40,-15,,,
R_40,-32,,,
R_40,-5,,,
R_40,-40,,,
R_40,-7,,,
R_40,-30,,,
R_40,-45,,,
R_40,-10,,,
R_40,-35,,,
R_40,-25,,,
R_40,-50,,,
R_40,-30,,,
R_40,-5,,,
R_40,-25,,,
R_40,-50,,,
R_40,-35,,,
R_40,0,,,
R_40,-18,,,
R_40,-46,,,
R_40,-50,,,
R_40,-25,,,
R_40,-4,,,
R_40,-25,,,
R_40,-6,,,
R_40,-25,,,
R_40,0,,,
R_40,-37,,,
R_40,-40,,,
R_40,0,,,
R_40,-40,,,
R_40,-4,,,
R_40,-40,,,
R_40,-15,,,
R_40,-8,,,
R_40,-9,,,
R_40,-1,,,
R_40,-13,,,
R_40,0,,,
R_40,-18,,,
NR_40,,-48,,
NR_40,,-23,,
NR_40,,34,,
NR_40,,-22,,
NR_40,,20,,
NR_40,,-30,,
NR_40,,20,,
NR_40,,-40,,
NR_40,,-34,,
NR_40,,-30,,
NR_40,,-20,,
NR_40,,15,,
NR_40,,11,,
NR_40,,0,,
NR_40,,20,,
NR_40,,12,,
NR_40,,-25,,
NR_40,,30,,
NR_40,,13,,
NR_40,,30,,
NR_40,,10,,
NR_40,,-2,,
NR_40,,-15,,
NR_40,,40,,
NR_40,,-20,,
NR_40,,-35,,
NR_40,,-33,,
NR_40,,-29,,
NR_40,,-9,,
NR_40,,35,,
NR_40,,40,,
NR_40,,24,,
NR_40,,-10,,
NR_40,,30,,
NR_40,,13,,
NR_40,,40,,
NR_40,,30,,
NR_40,,-1,,
NR_40,,25,,
NR_40,,0,,
NR_40,,-30,,
NR_40,,35,,
NR_40,,-6,,
NR_40,,0,,
NR_40,,10,,
NR_40,,-30,,
NR_40,,-10,,
NR_40,,0,,
NR_40,,2,,
NR_40,,11,,
NR_40,,21,,
NR_40,,20,,
NR_40,,-24,,
NR_40,,-50,,
NR_40,,23,,
NR_40,,11,,
NR_40,,-15,,
NR_40,,40,,
NR_40,,-9,,
NR_40,,23,,
NR_40,,20,,
NR_40,,-30,,
NR_40,,24,,
NR_40,,5,,
NR_40,,20,,
NR_40,,31,,
NR_40,,11,,
NR_40,,-19,,
NR_40,,-15,,
NR_40,,-13,,
NR_40,,-3,,
NR_40,,-10,,
NR_40,,-20,,
NR_40,,-5,,
NR_40,,-35,,
NR_40,,-10,,
NR_40,,0,,
NR_40,,-6,,
NR_40,,-31,,
NR_40,,-25,,
NR_40,,0,,
NR_40,,-15,,
NR_40,,-45,,
NR_40,,-1,,
NR_40,,-1,,
NR_40,,0,,
NR_40,,-10,,
NR_40,,0,,
NR_40,,-16,,
NR_40,,-35,,
NR_40,,-20,,
NR_40,,-19,,
NR_40,,-25,,
NR_40,,-10,,
NR_40,,-13,,
NR_40,,0,,
NR_40,,-35,,
NR_40,,-20,,
NR_40,,-10,,
NR_40,,-40,,
NR_40,,0,,
NR_40,,0,,
NR_40,,-25,,
NR_40,,-30,,
NR_40,,-22,,
NR_40,,-5,,
NR_40,,-10,,
NR_40,,-10,,
NR_40,,-16,,
NR_40,,-8,,
NR_40,,-8,,
NR_40,,-26,,
NR_40,,-10,,
NR_40,,-35,,
NR_40,,-29,,
NR_40,,0,,
NR_40,,0,,
NR_40,,0,,
NR_40,,0,,
NR_40,,-41,,
NR_40,,-21,,
NR_40,,-10,,
NR_40,,-25,,
NR_40,,-10,,
NR_40,,-10,,
NR_40,,-50,,
NR_40,,-10,,
NR_40,,-13,,
NR_40,,-1,,
NR_40,,-13,,
NR_40,,-30,,
NR_40,,-5,,
NR_40,,-35,,
NR_40,,0,,
NR_40,,-15,,
NR_40,,-10,,
NR_40,,0,,
R_60,,,45,
R_60,,,35,
R_60,,,15,
R_60,,,18,
R_60,,,17,
R_60,,,5,
R_60,,,33,
R_60,,,15,
R_60,,,46,
R_60,,,28,
R_60,,,15,
R_60,,,44,
R_60,,,25,
R_60,,,37,
R_60,,,0,
R_60,,,38,
R_60,,,45,
R_60,,,35,
R_60,,,26,
R_60,,,5,
R_60,,,35,
R_60,,,25,
R_60,,,0,
R_60,,,30,
R_60,,,0,
R_60,,,35,
R_60,,,35,
R_60,,,5,
R_60,,,5,
R_60,,,16,
R_60,,,0,
R_60,,,5,
R_60,,,5,
R_60,,,5,
R_60,,,25,
R_60,,,0,
R_60,,,25,
R_60,,,22,
R_60,,,15,
R_60,,,0,
R_60,,,35,
R_60,,,32,
R_60,,,21,
R_60,,,35,
R_60,,,0,
R_60,,,5,
R_60,,,45,
R_60,,,45,
R_60,,,0,
R_60,,,25,
R_60,,,35,
R_60,,,0,
R_60,,,0,
R_60,,,18,
R_60,,,25,
R_60,,,35,
R_60,,,10,
R_60,,,0,
R_60,,,0,
R_60,,,49,
R_60,,,45,
R_60,,,45,
R_60,,,40,
R_60,,,0,
R_60,,,43,
R_60,,,45,
R_60,,,29,
R_60,,,0,
R_60,,,41,
R_60,,,46,
R_60,,,43,
R_60,,,35,
R_60,,,40,
R_60,,,0,
R_60,,,0,
R_60,,,0,
R_60,,,42,
R_60,,,0,
R_60,,,30,
R_60,,,35,
R_60,,,46,
R_60,,,0,
R_60,,,40,
R_60,,,26,
R_60,,,42,
R_60,,,0,
R_60,,,36,
R_60,,,0,
R_60,,,45,
R_60,,,40,
R_60,,,25,
R_60,,,45,
R_60,,,45,
R_60,,,0,
R_60,,,40,
R_60,,,34,
R_60,,,40,
R_60,,,31,
R_60,,,40,
R_60,,,45,
R_60,,,40,
R_60,,,30,
R_60,,,29,
R_60,,,45,
R_60,,,38,
R_60,,,37,
R_60,,,5,
R_60,,,20,
R_60,,,0,
R_60,,,10,
R_60,,,40,
R_60,,,0,
R_60,,,33,
R_60,,,15,
R_60,,,0,
R_60,,,0,
R_60,,,26,
R_60,,,43,
R_60,,,0,
R_60,,,40,
NR_60,,,,26
NR_60,,,,20
NR_60,,,,10
NR_60,,,,30
NR_60,,,,29
NR_60,,,,10
NR_60,,,,27
NR_60,,,,29
NR_60,,,,10
NR_60,,,,13
NR_60,,,,13
NR_60,,,,26
NR_60,,,,29
NR_60,,,,20
NR_60,,,,20
NR_60,,,,10
NR_60,,,,20
NR_60,,,,10
NR_60,,,,10
NR_60,,,,17
NR_60,,,,20
NR_60,,,,29
NR_60,,,,11
NR_60,,,,20
NR_60,,,,11
NR_60,,,,10
NR_60,,,,20
NR_60,,,,11
NR_60,,,,20
NR_60,,,,20
NR_60,,,,22
NR_60,,,,12
NR_60,,,,20
NR_60,,,,21
NR_60,,,,10
NR_60,,,,15
NR_60,,,,11
NR_60,,,,17
NR_60,,,,26
NR_60,,,,22
NR_60,,,,10
NR_60,,,,29
NR_60,,,,29
NR_60,,,,20
NR_60,,,,20
NR_60,,,,20
NR_60,,,,27
NR_60,,,,30
NR_60,,,,26
NR_60,,,,20
NR_60,,,,20
NR_60,,,,10
NR_60,,,,20
NR_60,,,,14
NR_60,,,,10
NR_60,,,,10
NR_60,,,,20
NR_60,,,,10
NR_60,,,,20
NR_60,,,,10
NR_60,,,,10
NR_60,,,,20
NR_60,,,,10
NR_60,,,,20
NR_60,,,,16
NR_60,,,,29
NR_60,,,,10
NR_60,,,,10
NR_60,,,,25
NR_60,,,,10
NR_60,,,,10
NR_60,,,,20
NR_60,,,,10
NR_60,,,,30
NR_60,,,,20
NR_60,,,,10
NR_60,,,,14
NR_60,,,,12
NR_60,,,,20
NR_60,,,,14
NR_60,,,,24
NR_60,,,,10
NR_60,,,,16
NR_60,,,,28
NR_60,,,,15
NR_60,,,,20
NR_60,,,,20
NR_60,,,,10
NR_60,,,,27
NR_60,,,,10
NR_60,,,,26
NR_60,,,,14
NR_60,,,,14
NR_60,,,,10
NR_60,,,,10
NR_60,,,,26
NR_60,,,,10
NR_60,,,,11
NR_60,,,,20
NR_60,,,,10
NR_60,,,,25
NR_60,,,,10
NR_60,,,,10
NR_60,,,,12
NR_60,,,,11
NR_60,,,,28
NR_60,,,,14
NR_60,,,,22
NR_60,,,,15
NR_60,,,,10
NR_60,,,,10
NR_60,,,,20
NR_60,,,,10
NR_60,,,,25
NR_60,,,,24
NR_60,,,,10
NR_60,,,,10
NR_60,,,,20
NR_60,,,,29
NR_60,,,,15
NR_60,,,,10
NR_60,,,,18
NR_60,,,,25
NR_60,,,,30
NR_60,,,,10
NR_60,,,,16
NR_60,,,,20
NR_60,,,,25
NR_60,,,,20
NR_60,,,,25
NR_60,,,,15
NR_60,,,,10
NR_60,,,,25
NR_60,,,,10
NR_60,,,,26
NR_60,,,,10
NR_60,,,,12
NR_60,,,,10
NR_60,,,,22
NR_60,,,,20
NR_60,,,,10
NR_60,,,,20
NR_60,,,,20
NR_60,,,,10
NR_60,,,,15
NR_60,,,,20
NR_60,,,,25
NR_60,,,,20
NR_60,,,,12
